epochs,loss,dense_35_loss,dense_41_loss,dense_47_loss,dense_35_mae,dense_35_accuracy,dense_35_precision,dense_35_recall,dense_41_mae,dense_41_accuracy,dense_41_precision,dense_41_recall,dense_47_mae,dense_47_accuracy,dense_47_precision,dense_47_recall,val_loss,val_dense_35_loss,val_dense_41_loss,val_dense_47_loss,val_dense_35_mae,val_dense_35_accuracy,val_dense_35_precision,val_dense_35_recall,val_dense_41_mae,val_dense_41_accuracy,val_dense_41_precision,val_dense_41_recall,val_dense_47_mae,val_dense_47_accuracy,val_dense_47_precision,val_dense_47_recall
15,1.719327092,0.0333541967,0.32142359,1.364548922,0.152629882,0.0271567181,0.508810401,0.995048881,0.203148693,0.872758925,0.877547622,0.852035046,0.863152862,0.370860577,0.698781192,0.960990965,1.547485113,0.0307443384,0.270159841,1.246581078,0.149982527,0.0331153758,0.492380887,1,0.159969032,0.889474809,0.913451254,0.860713482,0.791429996,0.419742674,0.742954373,0.961852312
16,1.704099417,0.0324215889,0.3159509,1.355726957,0.150637969,0.0271567181,0.519042969,0.990649641,0.199778125,0.874446332,0.881195784,0.850376308,0.852041543,0.381828725,0.710201085,0.958977818,1.521639943,0.0280614346,0.264503002,1.229075432,0.143757537,0.0331153758,0.529102623,0.999521554,0.159712777,0.885467172,0.916496098,0.848637342,0.808065057,0.394853413,0.721036553,0.979830563
17,1.659968734,0.031926021,0.311493933,1.316548944,0.149490759,0.0271567181,0.525102377,0.991956353,0.193888366,0.880879581,0.884023964,0.862187147,0.828588724,0.394431561,0.721944571,0.954938114,1.545418024,0.0272628441,0.271615893,1.246539354,0.143087298,0.0331153758,0.537439525,0.999521554,0.14359194,0.885889053,0.885885835,0.886698961,0.750727952,0.464458972,0.789011657,0.937628388
18,1.623181462,0.0313944668,0.30203706,1.289749622,0.14821811,0.0271039866,0.526529789,0.993782818,0.191333786,0.881670535,0.8875072,0.860577047,0.815393507,0.405716091,0.731081188,0.952996552,1.543029428,0.0292513855,0.267078042,1.246699929,0.148045853,0.0331153758,0.540928364,0.999521554,0.158370495,0.890107572,0.900817096,0.876716018,0.809604049,0.402657658,0.728343606,0.972313643
19,1.602749348,0.0308264811,0.298048079,1.273874521,0.1463539,0.0270512551,0.527472079,0.988230348,0.184580147,0.887260079,0.89326036,0.863581836,0.808708251,0.409090906,0.733295619,0.95492965,1.560249448,0.027363373,0.262944967,1.269941211,0.142507732,0.0331153758,0.532193959,0.999521554,0.159262493,0.886943698,0.875808835,0.902571619,0.756240487,0.466568232,0.795355022,0.939212978
20,1.577165484,0.0307200458,0.293144435,1.253301024,0.146411821,0.0271567181,0.528887808,0.989634156,0.184352562,0.888261974,0.893758595,0.868086636,0.796243191,0.412623912,0.73810482,0.953179061,1.5177145,0.0268035885,0.280460149,1.210450888,0.140945494,0.0331153758,0.549803138,0.999521554,0.160380006,0.879983127,0.934452176,0.817884564,0.766073227,0.433663785,0.75576216,0.96602428
21,1.573843241,0.0306135248,0.278819591,1.264410615,0.145726994,0.0272094496,0.527887166,0.990421593,0.176364645,0.891320407,0.904157162,0.862594426,0.806626976,0.404608727,0.732009947,0.954040527,1.55990088,0.0268977713,0.268793732,1.264209151,0.142076775,0.0331153758,0.540057421,1,0.142896935,0.888841987,0.886432171,0.892213643,0.736816704,0.471208602,0.801340997,0.926887631
22,1.550679326,0.0302041955,0.278220356,1.242254496,0.144653425,0.0269985236,0.529243767,0.990161657,0.171174705,0.8941679,0.90408057,0.871480525,0.786000907,0.419320822,0.744994223,0.951989889,1.537069321,0.0269937031,0.272427827,1.237647772,0.143321827,0.0331153758,0.547550857,0.999521554,0.149165422,0.886943698,0.862520635,0.921076119,0.741323054,0.464458972,0.787207067,0.945090234
23,1.504807353,0.0299833249,0.279530525,1.195293069,0.143955663,0.0272094496,0.529646516,0.989457905,0.173391983,0.892375052,0.899246097,0.871022463,0.770660937,0.418002546,0.74519074,0.957028866,1.471915841,0.026395971,0.26696673,1.178553104,0.141640782,0.0331153758,0.544660568,1,0.146986246,0.892216861,0.897200823,0.886724055,0.706885576,0.466990083,0.796785772,0.949084103
24,1.504996538,0.0297892019,0.26932162,1.20588553,0.14326857,0.0271039866,0.534486771,0.99025178,0.168163821,0.898228228,0.903401852,0.880594432,0.774437368,0.419742674,0.74658972,0.954215467,1.473755598,0.026575435,0.277906507,1.169273496,0.140258357,0.0331153758,0.542325795,1,0.138299748,0.893060565,0.911368132,0.869959354,0.734437644,0.448428601,0.778420925,0.956671238
